TIME("mxm_mxm_2pt eta_xi","done") = 0.373 secs
TIME("contract MB-MB","done") = 33.440 secs
TIME("w_eta_xi","done") = 0.353 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.353 secs
TIME("contract MB-MB","done") = 32.829 secs
TIME("w_eta_xi","done") = 0.357 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.357 secs
TIME("contract MB-MB","done") = 33.619 secs
TIME("w_eta_xi","done") = 0.363 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.363 secs
TIME("contract MB-MB","done") = 33.029 secs
TIME("w_eta_xi","done") = 0.325 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.325 secs
TIME("contract MB-MB","done") = 33.486 secs
TIME("w_eta_xi","done") = 0.372 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.372 secs
TIME("contract MB-MB","done") = 33.395 secs
TIME("writing propagator","done") = 0.020 secs
TIME("light stochastic propagator","done") = 1.066 secs
TIME("light stochastic propagator","done") = 0.789 secs
TIME("light stochastic propagator","done") = 1.050 secs
TIME("light stochastic propagator","done") = 0.646 secs
TIME("light stochastic propagator","done") = 1.077 secs
TIME("light stochastic propagator","done") = 0.981 secs
TIME("light stochastic propagator","done") = 1.084 secs
TIME("light stochastic propagator","done") = 0.667 secs
TIME("light stochastic propagator","done") = 1.067 secs
TIME("light stochastic propagator","done") = 0.746 secs
TIME("light stochastic propagator","done") = 1.071 secs
TIME("light stochastic propagator","done") = 0.766 secs
TIME("light stochastic propagator","done") = 0.948 secs
TIME("light stochastic propagator","done") = 0.867 secs
TIME("light stochastic propagator","done") = 0.935 secs
TIME("light stochastic propagator","done") = 0.894 secs
TIME("writing propagator","done") = 0.019 secs
TIME("w_eta_xi","done") = 0.379 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.379 secs
TIME("contract MB-MB","done") = 33.741 secs
TIME("w_eta_xi","done") = 0.352 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.352 secs
TIME("contract MB-MB","done") = 33.664 secs
TIME("w_eta_xi","done") = 0.326 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.326 secs
TIME("contract MB-MB","done") = 33.645 secs
TIME("w_eta_xi","done") = 0.369 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.369 secs
TIME("contract MB-MB","done") = 33.480 secs
TIME("w_eta_xi","done") = 0.373 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.373 secs
TIME("contract MB-MB","done") = 33.095 secs
TIME("w_eta_xi","done") = 0.321 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.321 secs
TIME("contract MB-MB","done") = 33.410 secs
TIME("w_eta_xi","done") = 0.304 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.304 secs
TIME("contract MB-MB","done") = 33.006 secs
TIME("w_eta_xi","done") = 0.352 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.352 secs
TIME("contract MB-MB","done") = 33.677 secs
TIME("writing propagator","done") = 0.020 secs
TIME("light stochastic propagator","done") = 0.834 secs
TIME("light stochastic propagator","done") = 0.948 secs
TIME("light stochastic propagator","done") = 0.881 secs
TIME("light stochastic propagator","done") = 0.898 secs
TIME("light stochastic propagator","done") = 1.079 secs
TIME("light stochastic propagator","done") = 0.955 secs
TIME("light stochastic propagator","done") = 0.857 secs
TIME("light stochastic propagator","done") = 0.815 secs
TIME("light stochastic propagator","done") = 1.028 secs
TIME("light stochastic propagator","done") = 0.782 secs
TIME("light stochastic propagator","done") = 1.048 secs
TIME("light stochastic propagator","done") = 1.077 secs
TIME("light stochastic propagator","done") = 0.737 secs
TIME("light stochastic propagator","done") = 1.042 secs
TIME("light stochastic propagator","done") = 0.784 secs
TIME("light stochastic propagator","done") = 1.016 secs
TIME("writing propagator","done") = 0.019 secs
TIME("w_eta_xi","done") = 0.316 secs
TIME("mxm_mxm_2pt eta_xi","done") = 0.316 secs
TIME("contract MB-MB","done") = 33.605 secs
TIME("w_eta_xi","done") = 0.368 secs
